homeOver, homeGG, awayOver, awayGG, homeGoals, awayGoals, result
0.40,0.47,0.71,0.71,1.00,2.19,yes
0.72,0.64,0.62,0.74,1.30,1.26,no
0.60,0.60,0.64,0.64,1.85,1.33,no
0.70,0.64,0.68,0.66,2.04,2.23,yes
0.60,0.58,0.68,0.68,1.07,1.74,no
0.44,0.44,0.58,0.60,0.88,1.59,yes
0.43,0.57,0.60,0.60,1.33,0.88,yes
0.49,0.58,0.51,0.62,1.11,1.15,no
0.68,0.66,0.70,0.66,2.30,1.56,yes
0.48,0.59,0.25,0.25,1.56,0.88,no
0.33,0.44,0.61,0.50,1.19,1.65,yes
0.38,0.51,0.60,0.65,1.30,1.26,no
0.32,0.47,0.54,0.57,1.35,1.36,yes
0.46,0.46,0.61,0.50,1.48,1.65,no
0.44,0.52,0.47,0.47,1.26,1.61,no
0.48,0.63,0.45,0.45,1.50,0.89,yes
0.25,0.25,0.38,0.47,0.50,0.81,yes
0.31,0.47,0.48,0.59,1.00,0.96,no
0.65,0.53,0.55,0.47,1.05,1.00,no
0.57,0.55,0.60,0.62,1.85,1.26,yes
0.47,0.47,0.60,0.55,2.05,1.55,no
0.62,0.55,0.69,0.44,1.79,2.16,no
0.64,0.74,0.38,0.45,2.05,1.05,yes
0.62,0.57,0.59,0.64,2.25,2.00,no
0.60,0.75,0.62,0.65,1.35,0.70,yes
0.70,0.62,0.55,0.53,1.10,1.30,yes
0.72,0.49,0.68,0.62,3.20,1.76,yes
0.51,0.60,0.44,0.47,1.43,1.41,yes
0.50,0.47,0.50,0.45,1.38,1.27,yes
0.46,0.54,0.49,0.51,1.38,1.13,no
0.40,0.30,0.43,0.62,1.00,1.10,no
0.49,0.45,0.55,0.51,1.32,1.08,no
0.39,0.39,0.54,0.40,0.83,1.08,no
0.50,0.44,0.55,0.31,1.58,2.12,yes
0.52,0.50,0.56,0.44,1.17,0.70,yes
0.29,0.36,0.41,0.29,0.95,0.67,yes
0.47,0.51,0.42,0.51,1.74,1.27,no
0.49,0.38,0.40,0.49,0.88,1.30,no
0.33,0.40,0.29,0.44,1.50,0.91,no
0.44,0.51,0.24,0.35,1.27,1.00,yes
0.44,0.60,0.39,0.45,1.30,1.00,no
0.31,0.42,0.35,0.35,1.50,0.75,no
0.59,0.53,0.44,0.38,2.00,1.13,no
0.42,0.44,0.40,0.44,1.50,0.77,no
0.20,0.36,0.38,0.60,1.00,0.70,yes
0.40,0.44,0.44,0.51,0.74,1.22,yes
0.35,0.35,0.42,0.44,1.00,1.13,no
0.40,0.49,0.20,0.36,1.09,0.91,no
0.38,0.60,0.44,0.60,1.36,0.68,yes
0.39,0.45,0.24,0.35,1.23,1.00,no
0.44,0.38,0.29,0.36,0.95,1.22,no
0.41,0.29,0.49,0.38,0.88,1.10,yes
0.31,0.42,0.33,0.40,1.50,1.04,no
0.29,0.44,0.47,0.51,1.41,1.09,yes
0.25,0.38,0.30,0.36,0.75,1.27,no
0.41,0.50,0.30,0.41,0.95,0.68,yes
0.41,0.45,0.34,0.41,0.77,1.05,no
0.38,0.38,0.48,0.52,1.12,1.10,no
0.30,0.45,0.43,0.45,1.38,1.18,no
0.41,0.48,0.45,0.59,1.10,0.67,no
0.36,0.59,0.48,0.36,1.29,1.00,yes
0.43,0.36,0.43,0.50,0.86,1.18,yes
0.38,0.31,0.56,0.56,1.00,1.86,no
0.53,0.63,0.33,0.47,1.75,0.69,no
0.29,0.41,0.56,0.56,1.71,0.88,yes
0.37,0.42,0.48,0.57,1.60,1.42,no
0.38,0.38,0.52,0.67,1.50,1.46,yes
0.43,0.54,0.43,0.45,1.19,1.00,no
0.56,0.46,0.57,0.68,1.80,1.19,no
0.44,0.44,0.33,0.47,1.22,0.69,no
0.50,0.47,0.65,0.54,1.06,1.53,no
0.54,0.49,0.41,0.41,1.67,1.35,yes
0.53,0.40,0.45,0.59,1.88,1.00,no
0.61,0.46,0.65,0.57,1.70,0.87,no
0.62,0.57,0.60,0.60,1.67,1.43,no
0.55,0.60,0.54,0.52,1.46,1.12,yes
0.55,0.68,0.49,0.49,1.87,1.71,yes
0.65,0.67,0.57,0.55,1.91,0.96,no
0.70,0.62,0.51,0.57,1.62,0.96,yes
0.52,0.61,0.61,0.65,1.55,1.68,yes
0.41,0.61,0.37,0.51,1.85,1.16,yes
0.50,0.50,0.29,0.35,1.44,0.88,no
0.41,0.57,0.31,0.47,0.96,1.12,no
0.38,0.46,0.55,0.59,1.67,1.08,no
0.55,0.57,0.77,0.77,1.54,1.00,no
0.47,0.63,0.30,0.54,1.36,1.00,yes
0.41,0.49,0.35,0.47,1.32,1.00,yes
0.31,0.31,0.69,0.69,2.00,1.83,no
0.50,0.75,0.62,0.62,1.80,0.67,no
0.41,0.55,0.67,0.58,1.48,1.00,no
0.67,0.58,0.62,0.62,1.50,0.67,no
0.55,0.59,0.31,0.31,1.28,0.86,no
0.41,0.57,0.47,0.63,0.96,1.31,no
0.29,0.35,0.41,0.49,1.31,1.08,no
0.69,0.69,0.50,0.75,2.00,1.29,yes
0.31,0.47,0.41,0.61,1.04,0.92,yes
0.37,0.51,0.55,0.57,0.96,0.84,no
0.77,0.77,0.41,0.55,2.14,1.27,yes
0.35,0.47,0.38,0.46,1.15,1.14,no
0.45,0.57,0.28,0.38,1.10,0.60,no
0.22,0.32,0.28,0.28,1.33,0.75,no
0.35,0.43,0.28,0.33,1.07,0.90,no
0.71,0.60,0.63,0.49,0.88,0.82,no
0.48,0.48,0.52,0.52,1.24,1.09,yes
0.56,0.56,0.44,0.47,1.52,1.33,no
0.48,0.53,0.35,0.45,1.15,0.70,yes
0.47,0.52,0.48,0.47,1.55,1.55,yes
0.45,0.55,0.48,0.44,1.20,1.06,no
0.43,0.52,0.47,0.50,1.15,1.18,no
0.35,0.50,0.45,0.58,1.12,0.91,no
0.53,0.59,0.39,0.50,1.58,1.36,no
0.50,0.50,0.52,0.52,1.21,0.76,yes
0.20,0.40,0.50,0.60,1.90,1.60,no
0.50,0.61,0.32,0.38,1.79,0.69,no
0.47,0.47,0.37,0.49,1.24,1.22,yes
0.57,0.59,0.57,0.56,1.20,1.61,no
0.43,0.50,0.32,0.43,1.19,1.26,yes
0.53,0.53,0.57,0.52,1.86,1.05,yes
0.60,0.70,0.50,0.38,1.57,0.75,yes
0.52,0.41,0.41,0.43,1.14,0.62,yes
0.48,0.52,0.32,0.48,1.64,0.77,no
0.39,0.39,0.43,0.57,1.17,1.43,yes
0.50,0.52,0.43,0.50,1.60,1.14,no
0.70,0.64,0.48,0.50,2.14,1.00,yes
0.55,0.50,0.41,0.43,1.82,1.10,yes
0.65,0.37,0.49,0.40,2.77,1.18,no
0.33,0.50,0.45,0.49,0.67,0.96,yes
0.48,0.60,0.34,0.48,1.62,1.40,no
0.29,0.57,0.47,0.61,0.67,1.04,no
0.57,0.58,0.30,0.40,1.69,1.21,no
0.31,0.50,0.63,0.51,1.04,1.62,no
0.62,0.65,0.35,0.44,1.85,1.00,no
0.35,0.33,0.38,0.50,1.23,0.85,no
0.50,0.48,0.47,0.47,2.04,1.24,no
0.37,0.44,0.46,0.44,0.92,0.88,yes
0.54,0.56,0.29,0.29,1.68,1.00,no
0.50,0.56,0.53,0.57,1.31,1.31,no
0.40,0.48,0.50,0.65,1.58,1.38,yes
0.56,0.56,0.47,0.55,1.36,1.44,no
0.21,0.36,0.53,0.57,1.00,1.31,no
0.50,0.65,0.67,0.67,1.32,1.00,no
0.50,0.56,0.40,0.48,1.31,1.21,yes
0.55,0.51,0.64,0.57,1.16,0.86,no
0.62,0.58,0.54,0.62,1.52,1.38,yes
0.49,0.49,0.36,0.46,1.40,0.73,no
0.47,0.49,0.49,0.55,1.08,0.81,yes
0.49,0.45,0.56,0.62,1.36,1.22,yes
0.53,0.58,0.38,0.47,1.89,1.38,no
0.44,0.44,0.49,0.60,1.14,1.07,yes
0.44,0.33,0.54,0.62,0.89,1.17,no
0.48,0.48,0.47,0.42,1.32,1.22,yes
0.44,0.49,0.38,0.42,1.82,0.68,no
0.55,0.66,0.36,0.51,1.71,1.00,no
0.54,0.61,0.47,0.49,1.11,1.14,yes
0.61,0.62,0.47,0.42,1.46,1.20,yes
0.46,0.57,0.47,0.63,1.43,1.00,no
0.45,0.49,0.51,0.60,1.24,1.27,no
0.44,0.17,0.49,0.55,1.38,0.81,no
0.69,0.49,0.60,0.46,2.91,0.68,no
0.55,0.55,0.51,0.51,0.92,1.33,no
0.62,0.56,0.42,0.40,1.65,0.73,no
0.40,0.45,0.57,0.34,0.92,2.08,no
0.57,0.41,0.51,0.45,1.33,1.13,no
0.44,0.50,0.51,0.45,1.00,0.75,no
0.57,0.34,0.62,0.56,2.61,1.32,no
0.51,0.45,0.40,0.45,1.62,1.00,yes
0.44,0.50,0.57,0.41,1.00,1.14,no
0.55,0.55,0.69,0.49,0.92,2.57,no
0.51,0.45,0.51,0.51,1.35,1.33,yes
0.60,0.46,0.42,0.40,0.96,0.73,no
0.62,0.64,0.64,0.51,1.74,0.95,yes
0.56,0.54,0.62,0.73,1.84,1.32,yes
0.67,0.62,0.69,0.62,2.56,1.11,yes
0.62,0.64,0.64,0.59,1.80,0.89,no
0.68,0.41,0.59,0.54,2.37,1.58,yes
0.56,0.51,0.74,0.47,1.37,2.56,no
0.56,0.49,0.64,0.56,0.95,0.80,no
0.38,0.46,0.49,0.49,1.25,0.70,no
0.58,0.66,0.59,0.77,2.00,1.89,no
0.62,0.73,0.68,0.41,2.06,2.17,yes
0.44,0.36,0.37,0.51,1.08,1.16,yes
0.65,0.55,0.53,0.55,1.76,1.20,no
0.60,0.46,0.49,0.53,1.69,1.80,yes
0.60,0.52,0.35,0.42,1.28,1.04,no
0.43,0.50,0.54,0.58,0.86,1.62,no
0.54,0.56,0.65,0.55,1.62,1.96,yes
0.63,0.45,0.49,0.51,2.64,1.04,no
0.33,0.42,0.50,0.60,1.08,1.15,no
0.64,0.64,0.44,0.36,1.71,0.88,no
0.53,0.55,0.48,0.58,1.54,1.08,yes
0.69,0.60,0.43,0.43,2.77,0.71,no
0.37,0.51,0.54,0.62,1.35,1.50,no
0.54,0.54,0.59,0.59,1.00,1.56,yes
0.67,0.67,0.49,0.61,2.32,1.36,no
0.43,0.57,0.67,0.65,1.35,2.24,yes
0.63,0.75,0.70,0.70,1.48,2.20,yes
0.61,0.61,0.69,0.67,1.80,1.76,yes
0.59,0.59,0.65,0.65,1.88,1.28,no
0.71,0.65,0.49,0.61,2.04,1.12,yes
0.69,0.65,0.69,0.65,1.44,1.52,yes
0.85,0.69,0.73,0.63,1.17,1.00,yes
0.44,0.44,0.46,0.54,0.92,1.17,no
0.71,0.73,0.67,0.71,1.91,1.68,yes
0.71,0.58,0.67,0.58,1.36,1.45,no
0.64,0.91,0.58,0.60,1.40,1.14,yes
0.60,0.62,0.69,0.44,0.86,2.09,yes
0.62,0.53,0.56,0.60,1.05,1.36,no
0.80,0.62,0.51,0.60,3.14,1.64,yes
0.55,0.55,0.58,0.62,1.00,1.05,no
0.69,0.71,0.58,0.58,1.57,1.74,no
0.67,0.64,0.64,0.62,1.68,2.27,no
0.58,0.60,0.69,0.44,1.70,2.09,yes
0.58,0.62,0.71,0.73,1.57,1.43,no
0.67,0.58,0.60,0.62,1.04,1.57,no
0.67,0.71,0.67,0.64,2.13,1.52,yes
0.64,0.62,0.69,0.71,2.22,1.27,no
0.62,0.53,0.55,0.55,1.05,0.50,no
0.58,0.58,0.80,0.62,2.00,2.61,yes
0.56,0.60,0.71,0.58,1.39,1.61,yes
0.51,0.60,0.64,0.91,1.30,2.83,no
0.55,0.55,0.31,0.47,1.20,1.08,yes
0.60,0.50,0.29,0.35,1.60,0.83,yes
0.53,0.59,0.41,0.59,1.33,1.38,no
0.48,0.50,0.40,0.80,1.38,1.50,no
0.43,0.55,0.37,0.49,1.50,1.04,no
0.27,0.45,0.37,0.53,1.00,1.21,no
0.47,0.65,0.55,0.57,1.42,0.88,no
0.43,0.49,0.82,0.73,1.33,1.00,no
0.43,0.61,0.73,0.73,1.88,2.00,no
0.36,0.36,0.31,0.54,2.40,1.04,no
0.37,0.53,0.43,0.49,1.00,1.08,no
0.29,0.35,0.43,0.61,1.36,0.96,no
0.82,0.73,0.60,0.50,2.00,1.00,yes
0.31,0.54,0.43,0.55,1.54,1.28,no
0.37,0.49,0.41,0.59,1.16,1.38,no
0.73,0.73,0.47,0.65,2.33,1.24,no
0.55,0.55,0.48,0.50,1.20,1.42,yes
0.40,0.80,0.53,0.59,1.75,1.08,yes
0.55,0.57,0.27,0.45,1.48,1.00,yes
0.31,0.47,0.36,0.36,1.08,1.00,no
0.62,0.47,0.53,0.44,1.53,1.17,yes
0.56,0.47,0.74,0.62,1.41,1.22,no
0.60,0.49,0.44,0.44,1.89,1.63,yes
0.64,0.56,0.69,0.67,2.17,1.31,no
0.46,0.54,0.53,0.47,0.94,1.18,yes
0.30,0.36,0.44,0.47,0.88,1.56,yes
0.35,0.47,0.49,0.60,1.25,1.38,yes
0.63,0.63,0.49,0.49,1.82,0.89,no
0.49,0.58,0.58,0.58,1.41,1.35,no
0.60,0.67,0.44,0.56,1.96,1.23,no
0.62,0.53,0.60,0.60,1.64,1.14,no
0.51,0.44,0.64,0.64,1.87,1.23,no
0.64,0.55,0.47,0.58,1.60,1.26,no
0.64,0.76,0.51,0.60,1.43,1.82,no
0.36,0.27,0.73,0.55,1.80,0.60,yes
0.58,0.56,0.51,0.60,1.77,1.22,yes
0.60,0.60,0.51,0.44,2.13,0.86,no
0.64,0.64,0.62,0.53,1.74,1.35,no
0.73,0.55,0.49,0.58,1.33,1.61,no
0.58,0.58,0.82,0.73,1.64,0.80,no
0.47,0.58,0.36,0.27,1.50,0.83,no
0.51,0.60,0.58,0.56,1.04,1.00,no
0.44,0.56,0.64,0.76,1.22,1.73,no
0.53,0.58,0.64,0.55,1.45,0.83,no
0.40,0.38,0.51,0.41,1.23,1.14,no
0.43,0.45,0.43,0.45,1.10,1.05,no
0.55,0.50,0.33,0.50,1.90,0.71,no
0.52,0.40,0.61,0.71,1.19,1.16,no
0.31,0.40,0.43,0.48,0.75,1.10,yes
0.43,0.50,0.45,0.48,1.20,0.95,yes
0.48,0.50,0.55,0.50,1.58,1.00,yes
0.71,0.67,0.54,0.62,2.24,1.33,no
0.68,0.39,0.50,0.43,2.81,0.86,no
0.45,0.52,0.42,0.55,1.62,1.45,yes
0.33,0.50,0.54,0.62,1.29,1.33,no
0.42,0.55,0.31,0.40,1.55,1.27,no
0.61,0.71,0.48,0.50,1.59,1.57,yes
0.55,0.50,0.55,0.50,1.71,0.95,yes
0.43,0.45,0.71,0.67,1.10,1.05,no
0.43,0.48,0.40,0.38,0.95,1.05,no
0.45,0.48,0.52,0.40,1.00,0.71,yes
0.51,0.41,0.43,0.50,1.40,1.32,no
0.50,0.43,0.45,0.52,1.29,1.14,no
0.43,0.45,0.68,0.39,1.78,2.40,no
0.40,0.48,0.33,0.40,1.15,1.10,no
0.36,0.60,0.43,0.45,1.25,1.10,yes
0.40,0.48,0.31,0.45,1.29,0.95,no
0.36,0.29,0.31,0.40,1.17,0.71,no
0.30,0.37,0.36,0.60,0.95,0.73,no
0.47,0.51,0.36,0.29,1.73,0.62,yes
0.47,0.37,0.42,0.51,0.78,1.24,no
0.33,0.33,0.40,0.49,1.00,1.19,yes
0.47,0.58,0.42,0.44,1.32,0.76,no
0.31,0.40,0.31,0.45,1.52,0.95,no
0.43,0.45,0.40,0.48,1.52,1.05,no
0.21,0.37,0.27,0.40,1.05,0.86,no
0.33,0.40,0.42,0.35,1.43,1.09,yes
0.53,0.53,0.40,0.48,1.75,1.23,yes
0.46,0.44,0.55,0.55,0.96,0.80,no
0.55,0.55,0.71,0.67,1.00,1.79,no
0.67,0.67,0.71,0.69,2.38,2.25,no
0.51,0.59,0.69,0.63,1.17,1.54,no
0.73,0.63,0.59,0.59,1.28,1.79,yes
0.67,0.65,0.61,0.61,2.21,1.62,no
0.59,0.61,0.51,0.61,1.21,1.16,no
0.82,0.64,0.63,0.73,1.00,1.29,yes
0.43,0.55,0.67,0.63,1.36,1.24,yes
0.69,0.63,0.65,0.63,2.00,1.29,yes
0.51,0.59,0.43,0.55,1.17,1.04,no
0.67,0.63,0.55,0.55,1.38,0.80,yes
0.59,0.61,0.67,0.67,1.21,1.68,no
0.65,0.63,0.63,0.73,1.36,1.29,no
0.55,0.55,0.73,0.63,1.00,1.04,no
0.51,0.61,0.46,0.44,1.71,1.12,no
0.67,0.65,0.82,0.64,2.21,1.67,yes
0.69,0.63,0.59,0.59,2.12,1.79,yes
0.71,0.69,0.69,0.63,2.42,2.08,yes
0.71,0.67,0.61,0.61,2.12,1.62,no
0.36,0.50,0.64,0.54,1.32,2.00,yes
0.65,0.45,0.42,0.42,2.71,0.67,no
0.54,0.54,0.56,0.58,1.64,1.64,no
0.58,0.58,0.49,0.49,1.17,1.00,yes
0.62,0.48,0.50,0.60,1.76,1.12,no
0.50,0.50,0.50,0.58,1.00,1.12,no
0.68,0.60,0.54,0.62,2.80,1.52,yes
0.54,0.54,0.34,0.42,1.56,1.04,no
0.60,0.54,0.45,0.37,1.33,0.92,no
0.32,0.40,0.47,0.51,1.04,1.75,yes
0.34,0.42,0.68,0.60,0.92,1.68,no
0.56,0.58,0.65,0.45,1.36,2.00,no
0.50,0.60,0.54,0.54,1.48,1.00,yes
0.49,0.49,0.50,0.50,1.12,1.00,no
0.50,0.58,0.32,0.40,1.04,0.72,no
0.54,0.62,0.62,0.48,1.84,1.72,no
0.47,0.51,0.58,0.58,1.72,1.67,yes
0.42,0.42,0.60,0.54,0.83,1.17,no
0.48,0.48,0.54,0.58,1.88,1.36,no
0.44,0.35,0.39,0.47,1.58,1.22,yes
0.63,0.59,0.37,0.47,1.58,0.72,no
0.64,0.64,0.43,0.49,1.00,1.20,yes
0.66,0.58,0.58,0.55,1.89,0.53,no
0.63,0.58,0.37,0.45,2.26,0.94,yes
0.68,0.61,0.61,0.63,1.11,1.22,yes
0.63,0.50,0.66,0.61,1.05,1.65,yes
0.64,0.72,0.63,0.63,2.12,0.68,no
0.61,0.55,0.59,0.68,1.95,2.11,no
0.55,0.47,0.73,0.46,0.89,2.47,yes
0.58,0.76,0.47,0.47,1.37,0.63,yes
0.67,0.39,0.55,0.50,2.22,1.21,yes
0.64,0.56,0.49,0.49,1.32,1.61,yes
0.53,0.58,0.58,0.56,1.61,0.64,yes
0.56,0.71,0.64,0.48,1.95,1.00,no
0.60,0.62,0.56,0.58,2.17,1.00,no
0.62,0.58,0.56,0.60,1.65,1.45,yes
0.69,0.62,0.53,0.42,1.70,1.95,no
0.49,0.49,0.53,0.58,1.64,1.41,no
0.64,0.48,0.56,0.53,1.77,1.09,no
0.67,0.69,0.62,0.58,1.91,1.05,no
0.53,0.42,0.60,0.62,1.96,1.45,no
0.56,0.60,0.51,0.58,1.52,0.95,no
0.56,0.58,0.56,0.71,1.00,1.48,no
0.29,0.34,0.41,0.59,1.24,1.20,no
0.40,0.50,0.43,0.62,1.23,1.14,no
0.56,0.50,0.44,0.50,0.89,0.89,no
0.28,0.17,0.30,0.43,1.78,0.97,yes
0.45,0.48,0.40,0.50,1.30,0.87,no
0.32,0.45,0.61,0.67,0.97,1.00,yes
0.33,0.22,0.45,0.47,1.67,1.47,yes
0.41,0.59,0.42,0.50,1.45,0.80,no
0.28,0.40,0.39,0.33,1.10,0.78,no
0.63,0.59,0.52,0.57,2.31,1.07,no
0.45,0.52,0.43,0.49,1.44,1.09,yes
0.57,0.56,0.52,0.57,2.01,1.50,yes
0.43,0.46,0.55,0.58,1.54,1.45,no
0.59,0.59,0.49,0.52,1.39,1.01,yes
0.47,0.52,0.41,0.52,0.94,1.10,yes
0.55,0.55,0.56,0.59,1.19,1.52,no
0.44,0.46,0.56,0.60,1.49,1.36,no
0.56,0.59,0.59,0.59,1.58,1.16,no
0.55,0.53,0.45,0.52,1.60,1.30,no
0.55,0.58,0.57,0.56,1.59,1.70,yes
0.54,0.56,0.43,0.46,1.47,1.47,no
0.43,0.49,0.41,0.52,1.22,1.10,yes
0.52,0.57,0.59,0.56,1.64,1.05,no
0.49,0.52,0.47,0.52,1.46,1.14,no
0.55,0.55,0.52,0.55,1.19,1.40,yes
0.38,0.52,0.25,0.33,1.12,1.17,no
0.48,0.46,0.34,0.44,2.00,1.00,yes
0.61,0.49,0.55,0.57,2.72,1.40,yes
0.34,0.44,0.31,0.62,1.21,1.14,no
0.29,0.39,0.27,0.45,1.68,1.00,yes
0.61,0.49,0.47,0.59,2.72,0.92,yes
0.46,0.60,0.55,0.57,1.38,1.40,yes
0.44,0.48,0.61,0.65,1.28,1.24,yes
0.35,0.47,0.31,0.49,1.33,0.76,no
0.38,0.52,0.37,0.45,1.12,0.84,no
0.48,0.48,0.55,0.57,1.44,0.81,no
0.25,0.33,0.36,0.34,0.67,0.83,no
0.45,0.43,0.48,0.46,1.00,1.58,yes
0.52,0.59,0.55,0.60,1.08,1.23,yes
0.50,0.50,0.51,0.60,1.33,1.11,no
0.59,0.61,0.49,0.58,1.44,1.20,yes
0.46,0.56,0.40,0.47,1.44,1.39,no
0.47,0.49,0.36,0.49,1.25,1.00,no
0.43,0.43,0.41,0.65,1.11,1.00,yes
0.49,0.45,0.52,0.61,1.33,1.18,yes
0.43,0.51,0.47,0.47,1.89,1.25,no
0.56,0.65,0.51,0.55,1.74,0.81,no
0.52,0.57,0.47,0.41,1.92,1.11,yes
0.44,0.25,0.47,0.49,0.62,1.14,yes
